,0
Diabetes,80.38846153846154
blood pressure,74.0
weight loss,64.20769230769231
diabetes type,14.462153124653126
PCOS,13.264313186813187
metformin,12.826565934065933
neuropathy,12.617820416762724
body weight,9.325466326659765
cellulitis,9.202853318124811
Type 2 diabetes,8.631127787496567
PPG,7.321130817100394
diabetes symptoms,6.148699284648293
Type 1 diabetes,5.797388719249579
hypoglycemia,5.021851876755724
Gestational diabetes,4.135959101467038

