Words
OBESITY
ACROMEGALY
MYXEDEMA
micrognathia
MYOTONIC DYSTROPHY
adenotonsilar dystrophy
NEUROMUSCULAR DISEASES
Apnea
Obstructive Sleep
OSAHS
Obstructive Sleep Apnea
Sleep Apnea Hypopnea Syndrome
Sleep Apnea Syndrome
Obstructive Syndrome
Obstructive Sleep Apnea Syndrome
Sleep Apnea
Upper Airway Resistance
Sleep Apnea Upper Airway Resistance Sleep Apnea Syndrome
airway
airway pressure
continuous positive airway pressure
upper airway
Obstructive apnea-hypopnea index
Apnea Syndromes
Obstructive Sleep Apnea Syndrome appliance
oral appliance
CPAP treatment
daytime sleepiness
oxygen desaturation
Respiration Disorders
Intrinsic Sleep Disorders
Sleep Wake Disorders
Dyssomnias
Epworth Sleepiness Scale
apnea-hypopnea index
mandibular advancement
night
OSA
polysomnography
PSG
Respiratory Signs and Symptoms
during sleep
Sleep Disorders
sleep study
Obstructive Apnea
sleep apnea obstructive syndrome
Sleep Hypopnea
Apneic
Respiratory Arrest
pulmonary arrest
Sleeping
Unrefreshing or poor sleep
Pain
Stress
Gasping for air during sleep
Depressed mood
Anxious mood
Headaches
Elevated blood pressure
Elevated hematocrit
Tachycardia (fast heart rate)
CPAP machine
Central sleep apnea
Mixed sleep apnea
Loud snoring
Awakening with a dry mouth
hypersomnia
insomnia
Difficulty paying attention while awake
Morning headache
Irritability
Wake gasping
stopped breathing during sleep
fatigue
tiredness
memory-loss
snoring
migraine
gasping for air
morning headache
blocked passages
dry mouth
mouth breathing
sore throat
dry throat
difficulty staying asleep
difficulty falling asleep
restlessness
sudden awakenings
frequent nighttime wakening
cognitive impairment
choking
wake up feeling drunk
staggering after waking
confusion
inability to concentrate
weight gain
irritability
acid reflux
restless leg syndrome
anxiety
drowsiness
brain fog
coughing
racing heart
need to frequently nap
no energy
micro-sleeps
inability to stay awake during the daytime
bruxism
teeth grinding
excessive yawning
grogginess
pain in front center of brain
difficulty waking up
difficulty getting out of bed
